5 5 3 3	19
5 5 4 0	5
5 5 4 1	18
5 5 4 2	6
5 5 4 3	13
5 5 4 4	12
5 5 5 0	21
5 5 5 1	5
5 5 5 2	12
5 5 5 3	6
5 5 5 4	13
5 5 5 5	5
6 0 0 0	25
6 1 0 0	25
6 1 1 0	13
6 1 1 1	25
6 2 0 0	25
6 2 1 0	13
6 2 1 1	25
6 2 2 0	25
6 2 2 1	13
6 2 2 2	25
6 3 0 0	6
6 3 1 0	13
6 3 1 1	25
6 3 2 0	25
6 3 2 1	13
6 3 2 2	25
6 3 3 0	25
6 3 3 1	25
6 3 3 2	13
6 3 3 3	19
6 4 0 0	25
6 4 1 0	13
6 4 1 1	25
6 4 2 0	25
6 4 2 1	13
6 4 2 2	6
6 4 3 0	6
6 4 3 1	25
6 4 3 2	13
6 4 3 3	19
6 4 4 0	25
6 4 4 1	6
6 4 4 2	25
6 4 4 3	13
6 4 4 4	12
6 5 0 0	25
6 5 1 0	13
6 5 1 1	25
6 5 2 0	6
6 5 2 1	13
6 5 2 2	25
6 5 3 0	25
6 5 3 1	6
6 5 3 2	13
6 5 3 3	19
6 5 4 0	25
6 5 4 1	25
6 5 4 2	6
6 5 4 3	13
6 5 4 4	12
6 5 5 0	25
6 5 5 1	25
6 5 5 2	12
6 5 5 3	6
6 5 5 4	13
6 5 5 5	6
6 6 0 0	24
6 6 1 0	13
6 6 1 1	24
6 6 2 0	24
6 6 2 1	13
6 6 2 2	18
6 6 3 0	24
6 6 3 1	24
6 6 3 2	13
6 6 3 3	19
6 6 4 0	24
6 6 4 1	24
6 6 4 2	18
6 6 4 3	13
6 6 4 4	6
6 6 5 0	22
6 6 5 1	22
6 6 5 2	6
6 6 5 3	19
6 6 5 4	13
6 6 5 5	6
6 6 6 0	23
6 6 6 1	23
6 6 6 2	23
6 6 6 3	6
6 6 6 4	6
6 6 6 5	13
6 6 6 6	20
7 0 0 0	9
7 1 0 0	9
7 1 1 0	13
7 1 1 1	17
7 2 0 0	9
7 2 1 0	13
7 2 1 1	17
7 2 2 0	11
7 2 2 1	13
7 2 2 2	10
7 3 0 0	10
7 3 1 0	13
7 3 1 1	17
7 3 2 0	11
7 3 2 1	13
7 3 2 2	10
7 3 3 0	10
7 3 3 1	11
7 3 3 2	13
7 3 3 3	18
7 4 0 0	16
7 4 1 0	13
7 4 1 1	17
7 4 2 0	11
7 4 2 1	13
7 4 2 2	11
7 4 3 0	11
7 4 3 1	11
7 4 3 2	13
7 4 3 3	18
7 4 4 0	21
7 4 4 1	11
7 4 4 2	11
7 4 4 3	13
7 4 4 4	19
7 5 0 0	15
7 5 1 0	13
7 5 1 1	16
7 5 2 0	12
7 5 2 1	13
7 5 2 2	17
7 5 3 0	21
7 5 3 1	12
7 5 3 2	13
7 5 3 3	18
7 5 4 0	22
7 5 4 1	22
7 5 4 2	12
7 5 4 3	13
7 5 4 4	19
7 5 5 0	23
7 5 5 1	23
7 5 5 2	23
7 5 5 3	12
7 5 5 4	13
7 5 5 5	12
7 6 0 0	25
7 6 1 0	13
7 6 1 1	25
7 6 2 0	25
7 6 2 1	13
7 6 2 2	25
7 6 3 0	25
7 6 3 1	25
7 6 3 2	13
7 6 3 3	25
7 6 4 0	25
7 6 4 1	25
7 6 4 2	25
7 6 4 3	13
7 6 4 4	19
7 6 5 0	25
7 6 5 1	25
7 6 5 2	25
7 6 5 3	25
7 6 5 4	13
7 6 5 5	13
7 6 6 0	24
7 6 6 1	24
7 6 6 2	24
7 6 6 3	24
7 6 6 4	13
7 6 6 5	13
7 6 6 6	20
7 7 0 0	14
7 7 1 0	15
7 7 1 1	15
7 7 2 0	21
7 7 2 1	16
7 7 2 2	16
7 7 3 0	22
7 7 3 1	22
7 7 3 2	17
7 7 3 3	17
7 7 4 0	23
7 7 4 1	23
7 7 4 2	23
7 7 4 3	18
7 7 4 4	18
7 7 5 0	24
7 7 5 1	24
7 7 5 2	24
7 7 5 3	24
7 7 5 4	19
7 7 5 5	19
7 7 6 0	25
7 7 6 1	25
7 7 6 2	25
7 7 6 3	25
7 7 6 4	25
7 7 6 5	20
7 7 6 6	20
7 7 7 0	26
7 7 7 1	26
7 7 7 2	26
7 7 7 3	26
7 7 7 4	26
7 7 7 5	26
7 7 7 6	27
